编号,姓名,类型,HP,战斗,内政,报酬,可持蛋,HP文件偏移
0,泽拉斯,高级将领,95,15,15,8,是,0x01823C
1,亚彭龙,高级将领,95,15,15,10,是,0x01823D
2,威拉斯,高级将领,94,15,3,10,是,0x01823E
3,波塞伊,高级将领,95,15,10,10,是,0x01823F
4,赫拉克,高级将领,94,15,13,7,否,0x018240
5,代杜罗,高级将领,77,15,15,2,否,0x018241
6,盖亚,高级将领,76,14,5,8,否,0x018242
7,柏洛梅,高级将领,71,14,7,5,否,0x018243
8,培尔,高级将领,73,13,1,7,否,0x018244
9,希列洛,高级将领,74,13,15,9,是,0x018245
10,爱吉斯,普通将领,53,13,13,8,是,0x018246
11,塔洛诺,普通将领,71,12,7,10,否,0x018247
12,亚基,普通将领,40,12,4,8,否,0x018248
13,乌拉诺,普通将领,74,11,8,6,否,0x018249
14,开伦,普通将领,88,12,15,9,是,0x01824A
15,巴卡,普通将领,38,11,10,4,否,0x01824B
16,迪亚,普通将领,56,10,2,5,否,0x01824C
17,卡斯,普通将领,89,10,2,10,否,0x01824D
18,海伦,普通将领,36,9,9,4,是,0x01824E
19,奥伊,普通将领,58,9,10,5,否,0x01824F
20,拉伊奥,普通将领,23,8,3,3,否,0x018250
21,帕狄奥,普通将领,54,8,7,10,是,0x018251
22,杜洛斯,普通将领,41,7,4,2,否,0x018252
23,亚杜尼,普通将领,59,7,9,4,是,0x018253
24,尼列沃,普通将领,71,6,10,3,否,0x018254
25,伊,普通将领,40,6,14,5,否,0x018255
26,普亚金,普通将领,57,5,5,10,是,0x018256
27,笛沃卡,普通将领,23,5,3,2,否,0x018257
28,帕里斯,普通将领,38,4,9,5,是,0x018258
29,塔列安,普通将领,53,4,4,4,否,0x018259
30,赫尔梅,普通将领,38,3,4,5,否,0x01825A
31,思笛沃,普通将领,63,3,8,10,是,0x01825B
32,纳尔基,普通将领,62,2,6,3,否,0x01825C
33,奥杜塞,普通将领,45,2,5,7,否,0x01825D
34,埃庇梅,普通将领,29,11,9,10,是,0x01825E
35,帕伊安,普通将领,44,9,10,6,否,0x01825F
36,萨丁亚,普通将领,40,7,11,4,否,0x018260
37,库里奥,普通将领,26,6,14,5,是,0x018261
38,莫伊,普通将领,39,4,9,3,否,0x018262
39,流卡奥,普通将领,24,2,8,4,否,0x018263
40,主角（玩家命名）,主角,99,15,15,0,是,0x018264
